"epoch","skilled-firefly-1 - train_loss_epoch","skilled-firefly-1 - train_loss_epoch__MIN","skilled-firefly-1 - train_loss_epoch__MAX","skilled-firefly-1 - _step","skilled-firefly-1 - _step__MIN","skilled-firefly-1 - _step__MAX"
"0","1.2260280847549438","1.2260280847549438","1.2260280847549438","9","9","9"
"1","1.068162441253662","1.068162441253662","1.068162441253662","20","20","20"
"2","1.0179145336151123","1.0179145336151123","1.0179145336151123","31","31","31"
"3","0.9974557757377625","0.9974557757377625","0.9974557757377625","42","42","42"
"4","0.9813545346260071","0.9813545346260071","0.9813545346260071","53","53","53"
"5","0.9653337001800537","0.9653337001800537","0.9653337001800537","64","64","64"
"6","0.9509961605072021","0.9509961605072021","0.9509961605072021","75","75","75"
"7","0.9516221880912781","0.9516221880912781","0.9516221880912781","85","85","85"
"8","0.9332004189491272","0.9332004189491272","0.9332004189491272","96","96","96"
"9","0.9299740195274353","0.9299740195274353","0.9299740195274353","107","107","107"
"10","0.9205405116081238","0.9205405116081238","0.9205405116081238","118","118","118"
"11","0.9153771996498108","0.9153771996498108","0.9153771996498108","129","129","129"
"12","0.9047250747680664","0.9047250747680664","0.9047250747680664","140","140","140"
"13","0.9012718796730042","0.9012718796730042","0.9012718796730042","151","151","151"
"14","0.8922591209411621","0.8922591209411621","0.8922591209411621","161","161","161"
"15","0.9004665613174438","0.9004665613174438","0.9004665613174438","172","172","172"
"16","0.8890849947929382","0.8890849947929382","0.8890849947929382","183","183","183"
"17","0.8902188539505005","0.8902188539505005","0.8902188539505005","194","194","194"
"18","0.8881960511207581","0.8881960511207581","0.8881960511207581","205","205","205"
"19","0.8822664022445679","0.8822664022445679","0.8822664022445679","216","216","216"
"20","0.8768859505653381","0.8768859505653381","0.8768859505653381","227","227","227"
"21","0.8673402070999146","0.8673402070999146","0.8673402070999146","237","237","237"
"22","0.8662846088409424","0.8662846088409424","0.8662846088409424","248","248","248"
"23","0.8595120906829834","0.8595120906829834","0.8595120906829834","259","259","259"
"24","0.8719900250434875","0.8719900250434875","0.8719900250434875","270","270","270"
"25","0.8569319248199463","0.8569319248199463","0.8569319248199463","281","281","281"
"26","0.853126049041748","0.853126049041748","0.853126049041748","292","292","292"
"27","0.8575432300567627","0.8575432300567627","0.8575432300567627","303","303","303"
"28","0.8507192730903625","0.8507192730903625","0.8507192730903625","313","313","313"
"29","0.8531418442726135","0.8531418442726135","0.8531418442726135","324","324","324"
"30","0.8589180111885071","0.8589180111885071","0.8589180111885071","335","335","335"
"31","0.8463017344474792","0.8463017344474792","0.8463017344474792","346","346","346"
"32","0.849018931388855","0.849018931388855","0.849018931388855","357","357","357"
"33","0.8471766114234924","0.8471766114234924","0.8471766114234924","368","368","368"
"34","0.8490054607391357","0.8490054607391357","0.8490054607391357","379","379","379"
"35","0.8386852741241455","0.8386852741241455","0.8386852741241455","389","389","389"
"36","0.8402224779129028","0.8402224779129028","0.8402224779129028","400","400","400"
"37","0.829147458076477","0.829147458076477","0.829147458076477","411","411","411"
"38","0.8426193594932556","0.8426193594932556","0.8426193594932556","422","422","422"
"39","0.8341004252433777","0.8341004252433777","0.8341004252433777","433","433","433"
"40","0.8341002464294434","0.8341002464294434","0.8341002464294434","444","444","444"
"41","0.8370716571807861","0.8370716571807861","0.8370716571807861","455","455","455"
"42","0.8271592259407043","0.8271592259407043","0.8271592259407043","465","465","465"
"43","0.8319528698921204","0.8319528698921204","0.8319528698921204","476","476","476"
"44","0.8308709263801575","0.8308709263801575","0.8308709263801575","487","487","487"
"45","0.8272168040275574","0.8272168040275574","0.8272168040275574","498","498","498"
"46","0.830155074596405","0.830155074596405","0.830155074596405","509","509","509"
"47","0.8307422399520874","0.8307422399520874","0.8307422399520874","520","520","520"
"48","0.824367880821228","0.824367880821228","0.824367880821228","531","531","531"
"49","0.8287539482116699","0.8287539482116699","0.8287539482116699","542","542","542"
"50","0.8234940767288208","0.8234940767288208","0.8234940767288208","552","552","552"
"51","0.8288490772247314","0.8288490772247314","0.8288490772247314","563","563","563"
"52","0.818396270275116","0.818396270275116","0.818396270275116","574","574","574"
"53","0.8205841779708862","0.8205841779708862","0.8205841779708862","585","585","585"
"54","0.8139055371284485","0.8139055371284485","0.8139055371284485","596","596","596"
"55","0.816482424736023","0.816482424736023","0.816482424736023","607","607","607"
"56","0.8163446187973022","0.8163446187973022","0.8163446187973022","618","618","618"
"57","0.8220201134681702","0.8220201134681702","0.8220201134681702","628","628","628"
"58","0.8169372081756592","0.8169372081756592","0.8169372081756592","639","639","639"
"59","0.8194706439971924","0.8194706439971924","0.8194706439971924","650","650","650"
"60","0.8166712522506714","0.8166712522506714","0.8166712522506714","661","661","661"
"61","0.817124605178833","0.817124605178833","0.817124605178833","672","672","672"
"62","0.8217938542366028","0.8217938542366028","0.8217938542366028","683","683","683"
"63","0.8205515146255493","0.8205515146255493","0.8205515146255493","694","694","694"
"64","0.8146297335624695","0.8146297335624695","0.8146297335624695","704","704","704"
"65","0.8204391002655029","0.8204391002655029","0.8204391002655029","715","715","715"
"66","0.8177703619003296","0.8177703619003296","0.8177703619003296","726","726","726"
"67","0.8085833787918091","0.8085833787918091","0.8085833787918091","737","737","737"
"68","0.8178532719612122","0.8178532719612122","0.8178532719612122","748","748","748"
"69","0.817417562007904","0.817417562007904","0.817417562007904","759","759","759"
"70","0.8117733001708984","0.8117733001708984","0.8117733001708984","770","770","770"
"71","0.8178381323814392","0.8178381323814392","0.8178381323814392","780","780","780"
"72","0.8174715638160706","0.8174715638160706","0.8174715638160706","791","791","791"
