"Relative Time (Process)","final_final-v0 - system/gpu.0.gpu","final_final-v0 - system/gpu.0.gpu__MIN","final_final-v0 - system/gpu.0.gpu__MAX"
"1636.855208874","98","98","98"
"1641.312418505","63","63","63"
"1651.855158287","99","99","99"
"1656.312361728","97","97","97"
"1666.855191789","68","68","68"
"1671.312665672","97","97","97"
"1681.855007425","98","98","98"
"1686.312889742","79","79","79"
"1696.856347291","99","99","99"
"1701.312689834","64","64","64"
"1711.855553681","76","76","76"
"1716.312115491","95","95","95"
"1726.855959139","97","97","97"
"1731.312766587","97","97","97"
"1741.855819416","83","83","83"
"1746.313798701","97","97","97"
"1756.855072331","98","98","98"
"1761.312483022","99","99","99"
"1771.854199361","99","99","99"
"1776.312876973","98","98","98"
"1786.854797389","69","69","69"
"1791.313137915","64","64","64"
"1801.854980565","97","97","97"
"1806.313174716","93","93","93"
"1816.855544368","91","91","91"
"1821.312916744","98","98","98"
"1831.855654903","80","80","80"
"1836.313311289","98","98","98"
"1846.855198197","98","98","98"
"1851.314727111","63","63","63"
"1861.854594226","98","98","98"
"1866.315005622","62","62","62"
"1876.855563368","86","86","86"
"1881.312443627","64","64","64"
"1891.855058677","93","93","93"
"1896.311502424","74","74","74"
"1906.856165847","82","82","82"
"1911.312258718","98","98","98"
"1921.856215174","98","98","98"
"1926.312789205","97","97","97"
"1936.85579147","68","68","68"
"1941.313525496","99","99","99"
"1951.85491101","98","98","98"
"1956.313597275","93","93","93"
"1966.856266983","64","64","64"
"1971.312080049","75","75","75"
"1981.855061726","98","98","98"
"1986.313480842","88","88","88"
"1996.85491953","69","69","69"
"2001.312786258","96","96","96"
"2011.854554447","99","99","99"
"2016.313092819","97","97","97"
"2026.855998089","78","78","78"
"2031.313439596","99","99","99"
"2041.855147619","98","98","98"
"2046.312596344","99","99","99"
"2056.855552837","73","73","73"
"2061.312571493","99","99","99"
"2071.854847355","99","99","99"
"2076.313225528","87","87","87"
"2086.855401924","68","68","68"
"2091.312977718","63","63","63"
"2101.85574829","97","97","97"
"2106.313762955","48","48","48"
"2116.85537682","80","80","80"
"2121.313582792","99","99","99"
"2131.856101951","69","69","69"
"2136.312268313","77","77","77"
"2146.855278274","99","99","99"
"2151.312313354","82","82","82"
"2161.856340812","70","70","70"
"2166.312709671","97","97","97"
"2176.855925881","97","97","97"
"2181.314246435","96","96","96"
"2191.855448804","68","68","68"
"2196.31252073","97","97","97"
"2206.85602155","98","98","98"
"2211.313397239","97","97","97"
"2221.855734382","86","86","86"
"2226.312810843","99","99","99"
"2236.854218672","98","98","98"
"2241.311675263","74","74","74"
"2251.855107015","99","99","99"
"2256.312270195","63","63","63"
"2266.85515979","98","98","98"
"2271.31333583","99","99","99"
"2281.854631656","67","67","67"
"2286.313773523","95","95","95"
"2296.855130093","97","97","97"
"2301.313669064","86","86","86"
"2311.85658587","73","73","73"
"2316.311824033","64","64","64"
"2326.854327922","98","98","98"
"2331.312447375","97","97","97"
"2341.855684046","99","99","99"
"2346.313488125","97","97","97"
"2356.856290717","97","97","97"
"2361.312435376","97","97","97"
"2371.854791764","97","97","97"
"2376.312510758","97","97","97"
"2386.854995524","98","98","98"
"2391.31355159","99","99","99"
"2401.854920934","96","96","96"
"2406.313879968","98","98","98"
"2416.854111387","97","97","97"
"2421.31210598","64","64","64"
"2431.856070237","99","99","99"
"2436.312746514","64","64","64"
"2446.856270546","97","97","97"
"2451.312651018","90","90","90"
"2461.855291398","98","98","98"
"2466.312858687","97","97","97"
"2476.855599089","96","96","96"
"2481.31412549","99","99","99"
"2491.855102649","97","97","97"
"2496.313304481","99","99","99"
"2506.854547863","99","99","99"
"2511.31205411","74","74","74"
"2521.855741344","64","64","64"
"2526.312095346","63","63","63"
"2536.855860215","67","67","67"
"2541.31352819","68","68","68"
"2551.855289388","64","64","64"
"2556.312790885","97","97","97"
"2566.856721963","92","92","92"
"2571.313119347","99","99","99"
"2581.855074131","99","99","99"
"2586.313550023","99","99","99"
"2596.855436634","99","99","99"
"2601.311456334","82","82","82"
"2611.855487122","98","98","98"
"2616.312097609","64","64","64"
"2626.855128647","97","97","97"
"2631.313072221","64","64","64"
"2641.854235282","99","99","99"
"2646.313868421","92","92","92"
"2656.855498649","63","63","63"
"2661.311960688","97","97","97"
"2671.855745324","98","98","98"
"2676.313247091","97","97","97"
"2686.853953415","98","98","98"
"2691.313036346","96","96","96"
"2701.855508148","97","97","97"
"2706.312770551","76","76","76"
"2716.855038978","97","97","97"
"2721.313164303","64","64","64"
"2731.854524337","96","96","96"
"2736.313862244","99","99","99"
"2746.855809801","83","83","83"
"2751.313538063","97","97","97"
"2761.856977161","77","77","77"
"2766.312753781","97","97","97"
"2776.854787311","99","99","99"
"2781.312969807","99","99","99"
"2791.856046445","71","71","71"
"2796.311911212","66","66","66"
"2806.855773933","64","64","64"
"2811.3127655","68","68","68"
"2821.856325425","69","69","69"
"2826.312990122","97","97","97"
"2836.856593166","99","99","99"
"2841.313345903","97","97","97"
"2851.855000546","97","97","97"
"2856.312552665","99","99","99"
"2866.854628073","97","97","97"
"2871.312526897","99","99","99"
"2881.855674687","79","79","79"
"2886.313121282","99","99","99"
"2896.856001154","85","85","85"
"2901.311400515","91","91","91"
"2911.856505428","64","64","64"
"2916.311426988","67","67","67"
"2926.855776784","65","65","65"
"2931.31288042","63","63","63"
"2941.855419872","67","67","67"
"2946.313020676","83","83","83"
"2956.855662359","99","99","99"
"2961.313115553","99","99","99"
"2971.855106709","99","99","99"
"2976.312373366","69","69","69"
"2986.855038852","97","97","97"
"2991.31271779","63","63","63"
"3001.854547697","91","91","91"
"3006.315276148","74","74","74"
"3016.856018194","89","89","89"
"3021.311584636","97","97","97"
"3031.854667506","94","94","94"
"3036.31212338","97","97","97"
"3046.8551835","65","65","65"
"3051.31200215","97","97","97"
"3061.856166209","63","63","63"
"3066.313060169","99","99","99"
"3076.855046723","99","99","99"
"3081.312802334","99","99","99"
"3091.856420099","97","97","97"
"3096.312115576","97","97","97"
"3106.855037167","99","99","99"
"3111.312122298","99","99","99"
"3121.855906839","99","99","99"
"3126.312474001","88","88","88"
"3136.855803931","97","97","97"
"3141.312975259","99","99","99"
"3151.856236024","96","96","96"
"3156.312821179","97","97","97"
"3166.855593558","77","77","77"
"3171.311920054","97","97","97"
"3181.856563587","80","80","80"
"3186.311865699","99","99","99"
"3196.855590616","99","99","99"
"3201.312903359","99","99","99"
"3211.855534073","99","99","99"
"3216.313237595","99","99","99"
"3226.855315786","97","97","97"
"3231.313055022","69","69","69"
"3241.855539493","98","98","98"
"3246.312975737","64","64","64"
"3256.855069837","93","93","93"
"3261.313286845","93","93","93"
"3271.855335413","97","97","97"
"3276.313979747","97","97","97"
"3286.855409572","97","97","97"
"3291.312769328","99","99","99"
"3301.854852184","97","97","97"
"3306.31307126","99","99","99"
"3316.854959103","88","88","88"
"3321.312681248","61","61","61"
"3331.856184569","65","65","65"
"3336.312865672","64","64","64"
"3346.855216055","95","95","95"
"3351.313484406","97","97","97"
"3361.856409617","99","99","99"
"3366.312338024","99","99","99"
"3376.855178904","96","96","96"
"3381.31239849","82","82","82"
"3391.856135442","97","97","97"
"3396.312580813","96","96","96"
"3406.854757167","96","96","96"
"3411.312442027","97","97","97"
"3421.856413419","99","99","99"
"3426.31306242","99","99","99"
"3436.8561222","88","88","88"
"3441.313326664","99","99","99"
"3451.855779362","61","61","61"
"3456.312856829","63","63","63"
"3466.854674996","64","64","64"
"3471.312602952","81","81","81"
"3481.854393052","68","68","68"
"3486.313175027","98","98","98"
"3496.856244086","99","99","99"
"3501.31174198","96","96","96"
"3511.854617382","96","96","96"
"3516.312480639","99","99","99"
"3526.854849129","72","72","72"
"3531.313152799","80","80","80"
"3541.85468014","99","99","99"
"3546.311818342","96","96","96"
"3556.854586488","97","97","97"
"3561.312121342","97","97","97"
"3571.856391763","92","92","92"
"3576.312046607","99","99","99"
"3586.854945644","61","61","61"
"3591.313051513","78","78","78"
"3601.857294435","99","99","99"
"3606.313193171","73","73","73"
"3616.856154001","99","99","99"
"3621.314467734","97","97","97"
"3631.855810889","97","97","97"
"3636.313444937","96","96","96"
"3646.856622997","97","97","97"
"3651.314459155","99","99","99"
"3661.855880015","93","93","93"
"3666.313000377","99","99","99"
"3676.854250714","93","93","93"
"3681.311969281","69","69","69"
"3691.85547864","72","72","72"
"3696.31213448","64","64","64"
"3706.855629946","99","99","99"
"3711.312852101","85","85","85"
"3721.854467212","96","96","96"
"3726.312959743","76","76","76"
"3736.8560457519998","99","99","99"
"3741.313003932","98","98","98"
"3751.856089102","99","99","99"
"3756.312887378","97","97","97"
"3766.855139293","99","99","99"
