"Relative Time (Process)","final_final-v0 - system/gpu.0.memoryAllocatedBytes","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MIN","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MAX"
"891.313091314","27825209344","27825209344","27825209344"
"901.856745681","27577745408","27577745408","27577745408"
"906.312075328","27825209344","27825209344","27825209344"
"916.855676704","27577745408","27577745408","27577745408"
"921.313527011","27825209344","27825209344","27825209344"
"931.856556996","27577745408","27577745408","27577745408"
"936.312458885","27825209344","27825209344","27825209344"
"946.855085863","27577745408","27577745408","27577745408"
"951.312737878","27825209344","27825209344","27825209344"
"961.855393445","27577745408","27577745408","27577745408"
"966.314494821","27825209344","27825209344","27825209344"
"976.856396083","27577745408","27577745408","27577745408"
"981.315313249","27825209344","27825209344","27825209344"
"991.855961621","27577745408","27577745408","27577745408"
"996.313416962","27825209344","27825209344","27825209344"
"1006.855689836","27577745408","27577745408","27577745408"
"1011.312305418","27825209344","27825209344","27825209344"
"1021.855718924","27577745408","27577745408","27577745408"
"1026.312826394","27825209344","27825209344","27825209344"
"1036.855140178","27577745408","27577745408","27577745408"
"1041.313474815","27825209344","27825209344","27825209344"
"1051.855932627","27577745408","27577745408","27577745408"
"1056.31324933","27825209344","27825209344","27825209344"
"1066.854682918","27577745408","27577745408","27577745408"
"1071.313290919","27825209344","27825209344","27825209344"
"1081.856136137","27577745408","27577745408","27577745408"
"1086.313386453","27825209344","27825209344","27825209344"
"1096.855011161","27577745408","27577745408","27577745408"
"1101.313115379","27825209344","27825209344","27825209344"
"1111.8568966","27577745408","27577745408","27577745408"
"1116.313077505","27825209344","27825209344","27825209344"
"1126.856257918","27577745408","27577745408","27577745408"
"1131.31345415","27825209344","27825209344","27825209344"
"1141.85608869","27577745408","27577745408","27577745408"
"1146.312615839","27825209344","27825209344","27825209344"
"1156.855351943","27577745408","27577745408","27577745408"
"1161.313730963","27825209344","27825209344","27825209344"
"1171.855686633","27577745408","27577745408","27577745408"
"1176.312570297","27825209344","27825209344","27825209344"
"1186.854042808","27577745408","27577745408","27577745408"
"1191.31307919","27825209344","27825209344","27825209344"
"1201.855164168","27577745408","27577745408","27577745408"
"1206.313063753","27825209344","27825209344","27825209344"
"1216.855100483","27577745408","27577745408","27577745408"
"1221.312787329","27825209344","27825209344","27825209344"
"1231.855728463","27577745408","27577745408","27577745408"
"1236.312545698","27825209344","27825209344","27825209344"
"1246.855282702","27577745408","27577745408","27577745408"
"1251.313464206","27825209344","27825209344","27825209344"
"1261.855443738","27577745408","27577745408","27577745408"
"1266.312549597","27825209344","27825209344","27825209344"
"1276.855246374","27577745408","27577745408","27577745408"
"1281.313158754","27825209344","27825209344","27825209344"
"1291.855186843","27577745408","27577745408","27577745408"
"1296.313061355","27825209344","27825209344","27825209344"
"1306.855988912","27577745408","27577745408","27577745408"
"1311.312665845","27825209344","27825209344","27825209344"
"1321.854805737","27577745408","27577745408","27577745408"
"1326.31260393","27825209344","27825209344","27825209344"
"1336.855560488","27577745408","27577745408","27577745408"
"1341.313808107","27825209344","27825209344","27825209344"
"1351.85540953","27577745408","27577745408","27577745408"
"1356.311231932","27825209344","27825209344","27825209344"
"1366.855120697","27577745408","27577745408","27577745408"
"1371.312285932","27827306496","27827306496","27827306496"
"1381.854225138","27577745408","27577745408","27577745408"
"1386.311892749","27827306496","27827306496","27827306496"
"1396.855398901","27577745408","27577745408","27577745408"
"1401.312610248","27827306496","27827306496","27827306496"
"1411.855132671","27577745408","27577745408","27577745408"
"1416.313613996","27827306496","27827306496","27827306496"
"1426.856165516","27577745408","27577745408","27577745408"
"1431.313783687","27827306496","27827306496","27827306496"
"1441.857048001","27577745408","27577745408","27577745408"
"1446.31295389","27827306496","27827306496","27827306496"
"1456.855688733","27577745408","27577745408","27577745408"
"1461.314492927","27827306496","27827306496","27827306496"
"1471.855049621","27577745408","27577745408","27577745408"
