"epoch","final_final-v0 - train_loss_epoch","final_final-v0 - train_loss_epoch__MIN","final_final-v0 - train_loss_epoch__MAX","final_final-v0 - _step","final_final-v0 - _step__MIN","final_final-v0 - _step__MAX"
"87","0.7930045127868652","0.7930045127868652","0.7930045127868652","954","954","954"
"88","0.7890404462814331","0.7890404462814331","0.7890404462814331","965","965","965"
"89","0.8035286664962769","0.8035286664962769","0.8035286664962769","976","976","976"
"90","0.7939503788948059","0.7939503788948059","0.7939503788948059","987","987","987"
"91","0.7997457981109619","0.7997457981109619","0.7997457981109619","998","998","998"
"92","0.7963408827781677","0.7963408827781677","0.7963408827781677","1008","1008","1008"
"93","0.7944178581237793","0.7944178581237793","0.7944178581237793","1019","1019","1019"
"94","0.803074061870575","0.803074061870575","0.803074061870575","1030","1030","1030"
"95","0.7925505638122559","0.7925505638122559","0.7925505638122559","1041","1041","1041"
"96","0.7990861535072327","0.7990861535072327","0.7990861535072327","1052","1052","1052"
"97","0.7919878959655762","0.7919878959655762","0.7919878959655762","1063","1063","1063"
"98","0.789832592010498","0.789832592010498","0.789832592010498","1074","1074","1074"
"99","0.7887324094772339","0.7887324094772339","0.7887324094772339","1085","1085","1085"
"100","0.7954753637313843","0.7954753637313843","0.7954753637313843","1095","1095","1095"
"101","0.7933922410011292","0.7933922410011292","0.7933922410011292","1106","1106","1106"
"102","0.7818745970726013","0.7818745970726013","0.7818745970726013","1117","1117","1117"
"103","0.7962217926979065","0.7962217926979065","0.7962217926979065","1128","1128","1128"
"104","0.7982638478279114","0.7982638478279114","0.7982638478279114","1139","1139","1139"
"105","0.7848385572433472","0.7848385572433472","0.7848385572433472","1150","1150","1150"
"106","0.7917190194129944","0.7917190194129944","0.7917190194129944","1161","1161","1161"
"107","0.7880595922470093","0.7880595922470093","0.7880595922470093","1171","1171","1171"
"108","0.7935800552368164","0.7935800552368164","0.7935800552368164","1182","1182","1182"
"109","0.7929064631462097","0.7929064631462097","0.7929064631462097","1193","1193","1193"
"110","0.7887238264083862","0.7887238264083862","0.7887238264083862","1204","1204","1204"
"111","0.7875106334686279","0.7875106334686279","0.7875106334686279","1215","1215","1215"
"112","0.7856195569038391","0.7856195569038391","0.7856195569038391","1226","1226","1226"
"113","0.7877498269081116","0.7877498269081116","0.7877498269081116","1237","1237","1237"
"114","0.7853754758834839","0.7853754758834839","0.7853754758834839","1247","1247","1247"
"115","0.7845578789710999","0.7845578789710999","0.7845578789710999","1258","1258","1258"
"116","0.7930417656898499","0.7930417656898499","0.7930417656898499","1269","1269","1269"
"117","0.7901140451431274","0.7901140451431274","0.7901140451431274","1280","1280","1280"
"118","0.7911619544029236","0.7911619544029236","0.7911619544029236","1291","1291","1291"
"119","0.7864940166473389","0.7864940166473389","0.7864940166473389","1302","1302","1302"
"120","0.803734302520752","0.803734302520752","0.803734302520752","1313","1313","1313"
"121","0.7895483374595642","0.7895483374595642","0.7895483374595642","1323","1323","1323"
"122","0.7954127192497253","0.7954127192497253","0.7954127192497253","1334","1334","1334"
"123","0.7836261987686157","0.7836261987686157","0.7836261987686157","1345","1345","1345"
"124","0.7821629643440247","0.7821629643440247","0.7821629643440247","1356","1356","1356"
"125","0.7864493727684021","0.7864493727684021","0.7864493727684021","1367","1367","1367"
"126","0.7901480793952942","0.7901480793952942","0.7901480793952942","1378","1378","1378"
"127","0.7859811186790466","0.7859811186790466","0.7859811186790466","1389","1389","1389"
"128","0.7953543066978455","0.7953543066978455","0.7953543066978455","1399","1399","1399"
"129","0.7835848927497864","0.7835848927497864","0.7835848927497864","1410","1410","1410"
"130","0.7830615043640137","0.7830615043640137","0.7830615043640137","1421","1421","1421"
"131","0.7932918071746826","0.7932918071746826","0.7932918071746826","1432","1432","1432"
"132","0.8004010915756226","0.8004010915756226","0.8004010915756226","1443","1443","1443"
"133","0.7983604073524475","0.7983604073524475","0.7983604073524475","1454","1454","1454"
"134","0.7871845960617065","0.7871845960617065","0.7871845960617065","1465","1465","1465"
"135","0.7899505496025085","0.7899505496025085","0.7899505496025085","1475","1475","1475"
"136","0.7891984581947327","0.7891984581947327","0.7891984581947327","1486","1486","1486"
"137","0.7854231595993042","0.7854231595993042","0.7854231595993042","1497","1497","1497"
"138","0.7827993631362915","0.7827993631362915","0.7827993631362915","1508","1508","1508"
"139","0.7826018929481506","0.7826018929481506","0.7826018929481506","1519","1519","1519"
"140","0.7830013632774353","0.7830013632774353","0.7830013632774353","1530","1530","1530"
"141","0.7856076955795288","0.7856076955795288","0.7856076955795288","1541","1541","1541"
"142","0.781855583190918","0.781855583190918","0.781855583190918","1551","1551","1551"
"143","0.7885514497756958","0.7885514497756958","0.7885514497756958","1562","1562","1562"
"144","0.7849449515342712","0.7849449515342712","0.7849449515342712","1573","1573","1573"
"145","0.788473904132843","0.788473904132843","0.788473904132843","1584","1584","1584"
"146","0.7865702509880066","0.7865702509880066","0.7865702509880066","1595","1595","1595"
"147","0.7887532114982605","0.7887532114982605","0.7887532114982605","1606","1606","1606"
"148","0.7885288596153259","0.7885288596153259","0.7885288596153259","1617","1617","1617"
"149","0.7843577861785889","0.7843577861785889","0.7843577861785889","1628","1628","1628"
"150","0.7853426933288574","0.7853426933288574","0.7853426933288574","1638","1638","1638"
"151","0.7827504277229309","0.7827504277229309","0.7827504277229309","1649","1649","1649"
"152","0.7851183414459229","0.7851183414459229","0.7851183414459229","1660","1660","1660"
"153","0.7859393954277039","0.7859393954277039","0.7859393954277039","1671","1671","1671"
"154","0.7886143922805786","0.7886143922805786","0.7886143922805786","1682","1682","1682"
"155","0.7892356514930725","0.7892356514930725","0.7892356514930725","1693","1693","1693"
"156","0.7810024619102478","0.7810024619102478","0.7810024619102478","1704","1704","1704"
"157","0.7801930904388428","0.7801930904388428","0.7801930904388428","1714","1714","1714"
"158","0.7911470532417297","0.7911470532417297","0.7911470532417297","1725","1725","1725"
"159","0.7802298069000244","0.7802298069000244","0.7802298069000244","1736","1736","1736"
"160","0.7846009135246277","0.7846009135246277","0.7846009135246277","1747","1747","1747"
"161","0.773943305015564","0.773943305015564","0.773943305015564","1758","1758","1758"
"162","0.7838959693908691","0.7838959693908691","0.7838959693908691","1769","1769","1769"
"163","0.789766252040863","0.789766252040863","0.789766252040863","1780","1780","1780"
"164","0.7878215312957764","0.7878215312957764","0.7878215312957764","1790","1790","1790"
"165","0.7804213166236877","0.7804213166236877","0.7804213166236877","1801","1801","1801"
"166","0.784489095211029","0.784489095211029","0.784489095211029","1812","1812","1812"
"167","0.7783288955688477","0.7783288955688477","0.7783288955688477","1823","1823","1823"
"168","0.7810447812080383","0.7810447812080383","0.7810447812080383","1834","1834","1834"
"169","0.7757221460342407","0.7757221460342407","0.7757221460342407","1845","1845","1845"
"170","0.7810023427009583","0.7810023427009583","0.7810023427009583","1856","1856","1856"
"171","0.7777881026268005","0.7777881026268005","0.7777881026268005","1866","1866","1866"
"172","0.7823829650878906","0.7823829650878906","0.7823829650878906","1877","1877","1877"
"173","0.777421772480011","0.777421772480011","0.777421772480011","1888","1888","1888"
"174","0.7771329283714294","0.7771329283714294","0.7771329283714294","1899","1899","1899"
"175","0.7793929576873779","0.7793929576873779","0.7793929576873779","1910","1910","1910"
"176","0.7767413854598999","0.7767413854598999","0.7767413854598999","1921","1921","1921"
"177","0.7816682457923889","0.7816682457923889","0.7816682457923889","1932","1932","1932"
"178","0.7801757454872131","0.7801757454872131","0.7801757454872131","1942","1942","1942"
