"epoch","onFlashIPA_v0 - train_loss_epoch","onFlashIPA_v0 - train_loss_epoch__MIN","onFlashIPA_v0 - train_loss_epoch__MAX","onFlashIPA_v0 - _step","onFlashIPA_v0 - _step__MIN","onFlashIPA_v0 - _step__MAX"
"47","0.9277482032775879","0.9277482032775879","0.9277482032775879","520","520","520"
"48","0.9286867380142212","0.9286867380142212","0.9286867380142212","531","531","531"
"49","0.9226930141448975","0.9226930141448975","0.9226930141448975","542","542","542"
"50","0.9252740144729614","0.9252740144729614","0.9252740144729614","552","552","552"
"51","0.9206032156944275","0.9206032156944275","0.9206032156944275","563","563","563"
"52","0.9188855886459351","0.9188855886459351","0.9188855886459351","574","574","574"
"53","0.9187777638435364","0.9187777638435364","0.9187777638435364","585","585","585"
"54","0.9223753213882446","0.9223753213882446","0.9223753213882446","596","596","596"
"55","0.9189898371696472","0.9189898371696472","0.9189898371696472","607","607","607"
"56","0.9137085676193237","0.9137085676193237","0.9137085676193237","618","618","618"
"57","0.9203831553459167","0.9203831553459167","0.9203831553459167","628","628","628"
"58","0.9169912934303284","0.9169912934303284","0.9169912934303284","639","639","639"
"59","0.9161826968193054","0.9161826968193054","0.9161826968193054","650","650","650"
"60","0.9137994050979614","0.9137994050979614","0.9137994050979614","661","661","661"
"61","0.9128358364105225","0.9128358364105225","0.9128358364105225","672","672","672"
"62","0.9071053266525269","0.9071053266525269","0.9071053266525269","683","683","683"
"63","0.9115159511566162","0.9115159511566162","0.9115159511566162","694","694","694"
"64","0.9041070342063904","0.9041070342063904","0.9041070342063904","704","704","704"
"65","0.9064051508903503","0.9064051508903503","0.9064051508903503","715","715","715"
"66","0.9037554264068604","0.9037554264068604","0.9037554264068604","726","726","726"
"67","0.9016939997673035","0.9016939997673035","0.9016939997673035","737","737","737"
"68","0.9034693837165833","0.9034693837165833","0.9034693837165833","748","748","748"
"69","0.9082045555114746","0.9082045555114746","0.9082045555114746","759","759","759"
