"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.gpu","skilled-firefly-1 - system/gpu.0.gpu__MIN","skilled-firefly-1 - system/gpu.0.gpu__MAX"
"1832.101584393","99","99","99"
"1847.100152","96","96","96"
"1847.10015238","96","96","96"
"1862.098954","63","63","63"
"1862.098954326","63","63","63"
"1877.099756","99","99","99"
"1877.099756886","99","99","99"
"1892.099526","98","98","98"
"1892.099526175","98","98","98"
"1907.099676","61","61","61"
"1907.099676628","61","61","61"
"1922.099788","99","99","99"
"1922.099788786","99","99","99"
"1937.099221","96","96","96"
"1937.099221716","96","96","96"
"1952.098405","99","99","99"
"1952.098405606","99","99","99"
"1967.100113","96","96","96"
"1967.100113557","96","96","96"
"1982.098945","79","79","79"
"1982.098945377","79","79","79"
"1997.100038","60","60","60"
"1997.100038531","60","60","60"
"2012.100117","87","87","87"
"2012.100117373","87","87","87"
"2027.098607","99","99","99"
"2027.09860746","99","99","99"
"2042.099595","96","96","96"
"2042.099595842","96","96","96"
"2057.099789","99","99","99"
"2057.099789996","99","99","99"
"2072.099181","99","99","99"
"2072.099181748","99","99","99"
"2087.099911","59","59","59"
"2087.099911376","59","59","59"
"2102.098963","99","99","99"
"2102.098963778","99","99","99"
"2117.100093","96","96","96"
"2117.100093408","96","96","96"
"2132.098761","62","62","62"
"2147.100184","92","92","92"
"2147.100184401","92","92","92"
"2162.099679","99","99","99"
"2162.099679287","99","99","99"
"2177.099726","94","94","94"
"2177.099726241","94","94","94"
"2192.099191","63","63","63"
"2192.099191345","63","63","63"
"2207.100469","99","99","99"
"2207.10046963","99","99","99"
"2222.099625","96","96","96"
"2222.099625563","96","96","96"
"2237.099794","99","99","99"
"2237.099794916","99","99","99"
"2252.100009","96","96","96"
"2252.100009087","96","96","96"
"2267.099217","75","75","75"
"2267.09921716","75","75","75"
"2282.099885","92","92","92"
"2282.099885589","92","92","92"
"2297.099708","99","99","99"
"2297.099708947","99","99","99"
"2312.099604","96","96","96"
"2312.099604705","96","96","96"
"2327.102083","96","96","96"
"2327.102083848","96","96","96"
"2342.101601","59","59","59"
"2342.101601634","59","59","59"
"2357.099645","99","99","99"
"2357.099645579","99","99","99"
"2372.101255","99","99","99"
"2372.101255824","99","99","99"
"2387.09985","94","94","94"
"2387.099850143","94","94","94"
"2402.099797","97","97","97"
"2402.099797891","97","97","97"
"2417.100414","62","62","62"
"2417.100414311","62","62","62"
"2432.099568","97","97","97"
"2447.099853","99","99","99"
"2447.099853649","99","99","99"
"2462.099262","96","96","96"
"2462.099262635","96","96","96"
"2477.099559","96","96","96"
"2477.099559791","96","96","96"
"2492.099156","59","59","59"
"2492.099156424","59","59","59"
"2507.100324","80","80","80"
"2522.099892","99","99","99"
"2522.099892138","99","99","99"
"2537.099617","96","96","96"
"2537.099617938","96","96","96"
"2552.098217","59","59","59"
"2567.0998","98","98","98"
"2582.099546","94","94","94"
"2597.099929","93","93","93"
"2597.099929934","93","93","93"
"2612.099129","61","61","61"
"2612.099129745","61","61","61"
"2627.100219","82","82","82"
"2627.100219508","82","82","82"
"2642.099868","96","96","96"
"2642.099868247","96","96","96"
"2657.099623","97","97","97"
"2657.099623491","97","97","97"
"2672.099363","81","81","81"
"2672.099363242","81","81","81"
"2687.099366","99","99","99"
"2687.099366735","99","99","99"
"2702.099084","96","96","96"
"2702.099084495","96","96","96"
"2717.099941","62","62","62"
"2717.099941761","62","62","62"
"2732.099389","95","95","95"
"2732.099389408","95","95","95"
"2747.100279","88","88","88"
"2747.100279581","88","88","88"
"2762.099983","96","96","96"
"2762.099983823","96","96","96"
"2777.099386","69","69","69"
"2777.099386279","69","69","69"
"2792.099313","98","98","98"
"2792.099313759","98","98","98"
"2807.100484","99","99","99"
"2807.100484614","99","99","99"
"2822.099711","99","99","99"
"2822.099711897","99","99","99"
"2837.098677","65","65","65"
"2837.098677106","65","65","65"
"2852.099278","99","99","99"
"2852.099278689","99","99","99"
"2867.100191","96","96","96"
"2882.099378","64","64","64"
"2882.099378745","64","64","64"
"2897.100024","68","68","68"
"2897.100024159","68","68","68"
"2912.100284","99","99","99"
"2927.099792","96","96","96"
"2942.09963","58","58","58"
"2942.099630428","58","58","58"
"2957.099948","96","96","96"
"2957.099948689","96","96","96"
"2972.099374","59","59","59"
"2972.099374189","59","59","59"
"2987.100128","99","99","99"
"2987.100128745","99","99","99"
"3002.099527","96","96","96"
"3002.099527624","96","96","96"
"3017.100343","91","91","91"
"3017.100343451","91","91","91"
"3032.099468","83","83","83"
"3032.099468632","83","83","83"
"3047.099177","99","99","99"
"3047.099177299","99","99","99"
"3062.098578","99","99","99"
"3062.098578575","99","99","99"
"3077.100847","93","93","93"
"3077.10084753","93","93","93"
"3092.100285","96","96","96"
"3092.100285766","96","96","96"
"3107.099872","58","58","58"
"3107.099872965","58","58","58"
"3122.098553","85","85","85"
"3122.098553326","85","85","85"
"3137.099898","96","96","96"
"3152.100525","99","99","99"
"3152.100525878","99","99","99"
"3167.100281","96","96","96"
"3167.100281509","96","96","96"
"3182.099734","74","74","74"
"3197.100171","68","68","68"
"3197.100171306","68","68","68"
"3212.100497","99","99","99"
"3212.100497356","99","99","99"
"3227.099945","65","65","65"
"3227.099945613","65","65","65"
"3242.099006","99","99","99"
"3242.09900695","99","99","99"
"3257.101189","96","96","96"
