"Step","skilled-firefly-1 - train_loss_step","skilled-firefly-1 - train_loss_step__MIN","skilled-firefly-1 - train_loss_step__MAX"
"0","1.333380937576294","1.333380937576294","1.333380937576294"
"1","1.4084707498550415","1.4084707498550415","1.4084707498550415"
"2","1.256426453590393","1.256426453590393","1.256426453590393"
"3","1.2886987924575806","1.2886987924575806","1.2886987924575806"
"4","1.239734411239624","1.239734411239624","1.239734411239624"
"5","1.1862220764160156","1.1862220764160156","1.1862220764160156"
"6","1.1182446479797363","1.1182446479797363","1.1182446479797363"
"7","1.1165579557418823","1.1165579557418823","1.1165579557418823"
"8","1.0677180290222168","1.0677180290222168","1.0677180290222168"
"10","1.1671963930130005","1.1671963930130005","1.1671963930130005"
"11","1.1397809982299805","1.1397809982299805","1.1397809982299805"
"12","1.2248759269714355","1.2248759269714355","1.2248759269714355"
"13","1.1184555292129517","1.1184555292129517","1.1184555292129517"
"14","1.0972275733947754","1.0972275733947754","1.0972275733947754"
"15","1.1343265771865845","1.1343265771865845","1.1343265771865845"
"16","1.1488286256790161","1.1488286256790161","1.1488286256790161"
"17","1.1120980978012085","1.1120980978012085","1.1120980978012085"
"18","1.0629853010177612","1.0629853010177612","1.0629853010177612"
"19","1.0354002714157104","1.0354002714157104","1.0354002714157104"
"21","1.0695786476135254","1.0695786476135254","1.0695786476135254"
"22","1.0435014963150024","1.0435014963150024","1.0435014963150024"
"23","0.9756541848182678","0.9756541848182678","0.9756541848182678"
"24","1.0896464586257935","1.0896464586257935","1.0896464586257935"
"25","1.0503953695297241","1.0503953695297241","1.0503953695297241"
"26","1.0340895652770996","1.0340895652770996","1.0340895652770996"
"27","0.9197003841400146","0.9197003841400146","0.9197003841400146"
"28","1.1931476593017578","1.1931476593017578","1.1931476593017578"
"29","0.803325355052948","0.803325355052948","0.803325355052948"
"30","0.9036115407943726","0.9036115407943726","0.9036115407943726"
"32","1.0140453577041626","1.0140453577041626","1.0140453577041626"
"33","0.8835424184799194","0.8835424184799194","0.8835424184799194"
"34","1.0081413984298706","1.0081413984298706","1.0081413984298706"
"35","0.9490815997123718","0.9490815997123718","0.9490815997123718"
"36","0.9499013423919678","0.9499013423919678","0.9499013423919678"
"37","1.1295970678329468","1.1295970678329468","1.1295970678329468"
"38","0.9617441296577454","0.9617441296577454","0.9617441296577454"
"39","1.049503207206726","1.049503207206726","1.049503207206726"
"40","0.9946442246437073","0.9946442246437073","0.9946442246437073"
"41","0.9871671795845032","0.9871671795845032","0.9871671795845032"
"43","1.0206266641616821","1.0206266641616821","1.0206266641616821"
