"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"17.099742","31686066176","31686066176","31686066176"
"17.099742774","31686066176","31686066176","31686066176"
"32.098432","31688163328","31688163328","31688163328"
"32.0984327","31688163328","31688163328","31688163328"
"47.101266","31688163328","31688163328","31688163328"
"47.101266996","31688163328","31688163328","31688163328"
"62.099535","31688163328","31688163328","31688163328"
"62.09953554","31688163328","31688163328","31688163328"
"77.099705","31688163328","31688163328","31688163328"
"92.099834","31690260480","31690260480","31690260480"
"92.099834269","31690260480","31690260480","31690260480"
"107.099418","31692357632","31692357632","31692357632"
"122.099755","31694454784","31694454784","31694454784"
"122.099755286","31694454784","31694454784","31694454784"
"137.099817","31694454784","31694454784","31694454784"
"152.099474","31694454784","31694454784","31694454784"
"167.099496","31694454784","31694454784","31694454784"
"167.099496959","31694454784","31694454784","31694454784"
"182.099429","31694454784","31694454784","31694454784"
"182.099429254","31694454784","31694454784","31694454784"
"197.098616","31698649088","31698649088","31698649088"
"197.098616906","31698649088","31698649088","31698649088"
"212.09952","31698649088","31698649088","31698649088"
"212.09952065","31698649088","31698649088","31698649088"
"227.099694","31698649088","31698649088","31698649088"
"227.09969456","31698649088","31698649088","31698649088"
"242.100449","31698649088","31698649088","31698649088"
"242.100449225","31698649088","31698649088","31698649088"
"257.09987","31698649088","31698649088","31698649088"
"257.099870955","31698649088","31698649088","31698649088"
"272.099128","31698649088","31698649088","31698649088"
"272.099128522","31698649088","31698649088","31698649088"
"287.099883","31698649088","31698649088","31698649088"
"287.099883927","31698649088","31698649088","31698649088"
"302.099076","31698649088","31698649088","31698649088"
"302.09907682","31698649088","31698649088","31698649088"
"317.099317","31698649088","31698649088","31698649088"
"317.099317236","31698649088","31698649088","31698649088"
"332.100144","31698649088","31698649088","31698649088"
"332.100144966","31698649088","31698649088","31698649088"
"347.099609","31698649088","31698649088","31698649088"
"347.0996095","31698649088","31698649088","31698649088"
